"CNTRYID","CNT","Gender","Computers_at_home","Hours_maths_school","Hours_maths_at_home","Hours_science_school","Hours_science_at_home","PV1MATH","PV1READ","PV1SCIE"
"Albania","Albania","Female",NA,NA,NA,NA,NA,432.794,466.099,472.262
"Albania","Albania","Female",NA,NA,NA,NA,NA,489.198,560.093,535.845
"Albania","Albania","Male",NA,NA,NA,NA,NA,395.187,412.641,398.03
"Albania","Albania","Female",NA,NA,NA,NA,NA,430.674,462.406,516.481
"Albania","Albania","Male",NA,NA,NA,NA,NA,445.528,513.511,484.085
"Albania","Albania","Female",NA,NA,NA,NA,NA,500.215,421.563,437.974
"Albania","Albania","Female",NA,NA,NA,NA,NA,444.314,435.335,467.911
"Albania","Albania","Female",NA,NA,NA,NA,NA,446.095,391.591,435.741
"Albania","Albania","Male",NA,NA,NA,NA,NA,496.293,341.592,476.467
"Albania","Albania","Female",NA,NA,NA,NA,NA,413.524,530.009,456.481
"Albania","Albania","Female",NA,NA,NA,NA,NA,397.219,427.397,438.252
"Albania","Albania","Male",NA,NA,NA,NA,NA,187.626,242.08,207.239
"Albania","Albania","Female",NA,NA,NA,NA,NA,575.041,589.654,517.101
"Albania","Albania","Male",NA,NA,NA,NA,NA,433.967,408.057,471.932
"Albania","Albania","Female",NA,NA,NA,NA,NA,425.543,455.205,474.439
"Albania","Albania","Female",NA,NA,NA,NA,NA,338.43,474.515,456.18
"Albania","Albania","Male",NA,NA,NA,NA,NA,359.683,460.098,448.289
"Albania","Albania","Male",NA,NA,NA,NA,NA,301.285,259.529,423.647
"Albania","Albania","Male",NA,NA,NA,NA,NA,370.834,317.294,328.612
"Albania","Albania","Female",NA,NA,NA,NA,NA,354,348.037,312.191
"Albania","Albania","Female",NA,NA,NA,NA,NA,434.421,438.639,451.542
"Albania","Albania","Male",NA,NA,NA,NA,NA,259.348,307.191,333.961
"Albania","Albania","Female",NA,NA,NA,NA,NA,362.399,427.126,416.096
"Albania","Albania","Male",NA,NA,NA,NA,NA,457.226,405.864,502.158
"Albania","Albania","Male",NA,NA,NA,NA,NA,318.713,373.471,385.423
"Albania","Albania","Female",NA,NA,NA,NA,NA,465.258,427.469,410.01
"Albania","Albania","Female",NA,NA,NA,NA,NA,421.874,485.137,488.401
"Albania","Albania","Male",NA,NA,NA,NA,NA,384.98,271.952,360.882
"Albania","Albania","Male",NA,NA,NA,NA,NA,250.892,264.219,380.604
"Albania","Albania","Female",NA,NA,NA,NA,NA,437.807,531.607,425.936
"Albania","Albania","Male",NA,NA,NA,NA,NA,426.969,322.326,440.847
"Albania","Albania","Female",NA,NA,NA,NA,NA,431.228,529.885,495.489
"Albania","Albania","Male",NA,NA,NA,NA,NA,457.383,465.797,465.639
"Albania","Albania","Male",NA,NA,NA,NA,NA,352.205,317.128,310.449
"Albania","Albania","Female",NA,NA,NA,NA,NA,562.937,514.765,506.372
"Albania","Albania","Female",NA,NA,NA,NA,NA,390.51,342.429,462.579
"Albania","Albania","Male",NA,NA,NA,NA,NA,573.256,449.242,558.642
"Albania","Albania","Male",NA,NA,NA,NA,NA,334.582,249.89,346.035
"Albania","Albania","Female",NA,NA,NA,NA,NA,330.72,362.455,393.461
"Albania","Albania","Female",NA,NA,NA,NA,NA,320.923,385.311,398.584
"Albania","Albania","Male",NA,NA,NA,NA,NA,371.246,526.449,439.954
"Albania","Albania","Female",NA,NA,NA,NA,NA,414.841,386.555,451.18
"Albania","Albania","Female",NA,NA,NA,NA,NA,339.611,368.234,339.679
"Albania","Albania","Male",NA,NA,NA,NA,NA,311.483,310.005,314.623
"Albania","Albania","Female",NA,NA,NA,NA,NA,373.681,405.919,387.797
"Albania","Albania","Male",NA,NA,NA,NA,NA,126.588,168.603,216.907
"Albania","Albania","Male",NA,NA,NA,NA,NA,374.664,332.877,394.004
"Albania","Albania","Male",NA,NA,NA,NA,NA,478.009,587.888,540.213
"Albania","Albania","Female",NA,NA,NA,NA,NA,450.09,404.249,411.395
"Albania","Albania","Female",NA,NA,NA,NA,NA,471.795,460.545,485.603
"Albania","Albania","Male",NA,NA,NA,NA,NA,254.473,189.072,260.881
"Albania","Albania","Female",NA,NA,NA,NA,NA,578.792,519.533,546.382
"Albania","Albania","Male",NA,NA,NA,NA,NA,400.14,391.561,492.797
"Albania","Albania","Female",NA,NA,NA,NA,NA,375.681,314.873,330.58
"Albania","Albania","Female",NA,NA,NA,NA,NA,392.429,411.979,436.426
"Albania","Albania","Male",NA,NA,NA,NA,NA,526.007,464.909,515.761
"Albania","Albania","Female",NA,NA,NA,NA,NA,269.766,295.94,292.779
"Albania","Albania","Female",NA,NA,NA,NA,NA,425.84,499.016,473.363
"Albania","Albania","Male",NA,NA,NA,NA,NA,474.633,402.141,437.609
"Albania","Albania","Female",NA,NA,NA,NA,NA,475.842,417.477,507.51
"Albania","Albania","Male",NA,NA,NA,NA,NA,401.207,287.637,288.493
"Albania","Albania","Female",NA,NA,NA,NA,NA,551.176,628.296,555.964
"Albania","Albania","Female",NA,NA,NA,NA,NA,343.304,358.091,370.593
"Albania","Albania","Male",NA,NA,NA,NA,NA,346.903,395.371,391.079
"Albania","Albania","Male",NA,NA,NA,NA,NA,340.517,356.194,323.824
"Albania","Albania","Female",NA,NA,NA,NA,NA,366.423,346.279,337.991
"Albania","Albania","Female",NA,NA,NA,NA,NA,489.38,546.636,480.875
"Albania","Albania","Female",NA,NA,NA,NA,NA,421.984,424.924,464.205
"Albania","Albania","Male",NA,NA,NA,NA,NA,379.512,288.96,374.779
"Albania","Albania","Male",NA,NA,NA,NA,NA,429.622,327.236,373.973
"Albania","Albania","Male",NA,NA,NA,NA,NA,424.863,388.521,433.62
"Albania","Albania","Female",NA,NA,NA,NA,NA,287.037,400.841,359.889
"Albania","Albania","Female",NA,NA,NA,NA,NA,492.496,629.211,486.93
"Albania","Albania","Male",NA,NA,NA,NA,NA,437.735,461.34,456.74
"Albania","Albania","Female",NA,NA,NA,NA,NA,328.912,384.352,365.982
"Albania","Albania","Male",NA,NA,NA,NA,NA,437.079,479.247,483.678
"Albania","Albania","Male",NA,NA,NA,NA,NA,433.476,335.493,365.715
"Albania","Albania","Female",NA,NA,NA,NA,NA,224.764,427.683,414.384
"Albania","Albania","Male",NA,NA,NA,NA,NA,464.81,430.864,504.975
"Albania","Albania","Male",NA,NA,NA,NA,NA,455.101,475.834,417.996
"Albania","Albania","Female",NA,NA,NA,NA,NA,469.213,466.383,493.999
"Albania","Albania","Male",NA,NA,NA,NA,NA,427.613,452.629,439.46
"Albania","Albania","Female",NA,NA,NA,NA,NA,500.214,507.038,533.574
"Albania","Albania","Male",NA,NA,NA,NA,NA,331.668,394.964,480.912
"Albania","Albania","Female",NA,NA,NA,NA,NA,432.392,467.975,444.736
"Albania","Albania","Male",NA,NA,NA,NA,NA,473.599,490.48,540.11
"Albania","Albania","Male",NA,NA,NA,NA,NA,425.432,337.341,428.88
"Albania","Albania","Female",NA,NA,NA,NA,NA,350.942,401.885,443.007
"Albania","Albania","Female",NA,NA,NA,NA,NA,496.208,491.105,512.109
"Albania","Albania","Male",NA,NA,NA,NA,NA,434.003,275.146,356.976
"Albania","Albania","Female",NA,NA,NA,NA,NA,354.902,497.302,401.924
"Albania","Albania","Male",NA,NA,NA,NA,NA,470.169,419.661,449.157
"Albania","Albania","Female",NA,NA,NA,NA,NA,535.444,479.807,529.886
"Albania","Albania","Male",NA,NA,NA,NA,NA,485.486,409.043,475.085
"Albania","Albania","Male",NA,NA,NA,NA,NA,367.117,301.659,302.935
"Albania","Albania","Male",NA,NA,NA,NA,NA,441.494,428.908,525.264
