"CNT","Gender","Computers_at_home","Hours_maths_school","Hours_maths_at_home","Hours_science_school","Hours_science_at_home","PV1MATH","PV1READ","PV1SCIE"
"United Kingdom","Female",">=3","10","6","10","4",611.543,615.997,615.19
"United Kingdom","Female",">=3","5","4","3","1",602.482,625.605,621.868
"United Kingdom","Female",">=3","5","6","7","6",480.867,507.046,497.901
"United Kingdom","Female",">=3","5","2","5","2",532.163,617.633,565.787
"United Kingdom","Female","2","5","5","4","2",507.939,507.778,505.142
"United Kingdom","Male",">=3","5","12","8","4",540.77,634.744,591.131
"United Kingdom","Male",">=3","6","4","6","2",539.005,555.482,535.249
"United Kingdom","Male",">=3","5","2","5","1",619.667,575.151,667.942
"United Kingdom","Male","2","5","12","5","2",601.388,581.534,647.93
"United Kingdom","Male","1","7","20","8","5",496.381,539.057,502.319
"United Kingdom","Male",">=3","7","10","7","3",528.032,493.392,549.706
"United Kingdom","Male","2","3","8","3","0",537.046,512.16,492.989
"United Kingdom","Male","1","6","14","6","4",612.757,616.825,588.886
"United Kingdom","Male","2","5","4","6","2",483.237,522.346,505.241
"United Kingdom","Male",">=3",NA,"4",NA,"2",508.312,521.649,516.564
"United Kingdom","Male","2","5","1","4","1",339.51,459.257,361.332
"United Kingdom","Male",">=3","7","6","7","6",424.697,408.6,456.575
"United Kingdom","Male",">=3","5","1","4","1",605.369,606.398,590.478
"United Kingdom","Female",">=3","5","5","4","4",410.583,390.898,433.175
"United Kingdom","Female","2","5","5","4","4",414.031,433.777,440.767
"United Kingdom","Female",">=3","5","7","4","6",553.595,571.344,586.723
"United Kingdom","Female","2","5","9","4","8",656.91,600.133,575.469
"United Kingdom","Female","2","4","5","6","8",585.908,668.174,700.101
"United Kingdom","Female",">=3","5","6","6","6",517.937,614.754,561.084
"United Kingdom","Female","1","6","3","5","1",507.312,434.72,442.714
"United Kingdom","Female",">=3","4","4","6","6",576.552,524.647,581.054
"United Kingdom","Female","2","5","5","4","4",419.058,430.949,412.868
"United Kingdom","Female",">=3","4","2","6","3",566.461,541.62,584.415
"United Kingdom","Female",">=3","6","6","6","6",318.793,434.409,369.223
"United Kingdom","Female","1","5",NA,"4",NA,365.291,391.09,352.758
"United Kingdom","Male","2","5","2","4","1",499.715,480.079,556.875
"United Kingdom","Male",">=3","5",NA,"8",NA,590.392,521.397,604.718
"United Kingdom","Male",">=3","5","3","4","2",500.927,427.129,473.114
"United Kingdom","Male","1","4","2","6","3",497.48,537.019,544.946
"United Kingdom","Male","2","5","6","4","5",571.545,617.271,589.101
"United Kingdom","Male",">=3","7","4","4","2",529.137,451.38,541.953
"United Kingdom","Male",">=3","5","30","4","29",399.295,426.095,422.889
"United Kingdom","Male",">=3","4","4","6","6",501.089,570.217,593.301
"United Kingdom","Male","2","4","6","6","7",596.195,542.949,574.282
"United Kingdom","Male",">=3","6",NA,"5",NA,448.854,436.272,430.575
"United Kingdom","Male",">=3","5",NA,"5",NA,557.031,485.374,617.793
"United Kingdom","Male","2",NA,NA,NA,NA,278.344,304.739,339.641
"United Kingdom","Male","1","5","1","4","1",472.885,489.73,544.264
"United Kingdom","Male",">=3","6",NA,"4",NA,536.09,522.147,446.604
"United Kingdom","Female","1","5",NA,"6",NA,472.991,421.278,457.708
"United Kingdom","Female","2","5","3","5","4",364.433,353.451,323.522
"United Kingdom","Female",">=3","5",NA,"9",NA,542.396,583.134,583.745
"United Kingdom","Female",">=3","5","1","9","1",493.23,468.645,526.587
"United Kingdom","Female",">=3","5","30","6","30",501.818,472.376,492.755
"United Kingdom","Female","2","5","5","6","6",434.932,471.232,416.476
"United Kingdom","Female",">=3","5","1","6","1",462.706,496.635,539.097
"United Kingdom","Female","2","5","1","11","1",367.028,441.457,391.646
"United Kingdom","Female",">=3","5","1","6","1",464.908,407.809,419.656
"United Kingdom","Female","1","5","0","9","0",578.395,432.458,502.501
"United Kingdom","Female","2","5","5","6","5",431.876,453.273,422.901
